state,county,year,category,total_liabilities,bonds_outstanding,current_liabilities,leases,loans_outstanding,notes_outstanding,net_pension_liability,net_pension_assets,net_opeb_liability,net_opeb_assets,compensated_absences,charges_for_services,operating_grants,capital_grants,general_revenue,change_in_net_position,expenses,total_operating_revenues,non_operating_revenues,capital_contributions,revenues,student
WI,Brown County,2020,General Purpose,134859140,80715820,30575945,197963,0,1428536,0,18236747,5237345,0,3270413,86158406,68322354,11094883,130580770,41528363,254628050,0,0,0,296156413,20248
NY,Onondaga County,2020,General Purpose,1884884705,559806005,180515934,0,264122515,0,213400135,0,618643458,0,14076257,160143869,229775954,15924122,538171923,32815396,911200472,0,0,0,944015868,20234
CA,Madera County,2020,General Purpose,600928588,15090054,16265346,100048362,13576338,0,211955775,0,210729295,0,16931957,74288138,183930703,8526459,63990660,-5557499,336293459,0,0,0,330735960,20119
GA,Newton County,2020,General Purpose,88727081,43591834,9007029,469393,0,16071370,2505316,0,0,0,2723265,26026520,5898902,1521154,81219100,12362599,102303077,0,0,0,114665676,19579
UT,Cache County,2020,General Purpose,34182430,17120000,6089974,1374713,0,0,7094205,86575,0,0,2503538,10475867,21661790,1074772,44846573,18093052,59965950,0,0,0,78059002,19260
CA,Santa Cruz County,2020,General Purpose,994509543,42296736,83148452,5108098,92467,46795000,523261501,0,175366985,0,32074062,120888701,290445632,18531839,195998538,-47100870,672965580,17775649,685102,0,625864710,19249
MS,Rankin County,2020,General Purpose,157798553,81050604,8859569,4628344,0,1120000,60520374,0,0,0,1619662,12840903,5282625,2206678,62743896,-1735569,84809671,0,0,0,83074102,19160
FL,Martin County,2020,General Purpose,688363602,154377896,36386149,28350115,847235,0,266520344,0,175323842,0,17667805,107334860,23974797,19880399,252670897,11637465,392223488,0,0,0,403860953,19038
NC,Rowan County,2020,General Purpose,121760394,5919795,16261119,0,0,0,18557695,245012,10400765,0,4182850,25380598,22715407,1516377,124765898,9346554,165031726,0,0,0,174378280,18972
OR,Deschutes County,2020,General Purpose,234757471,41803202,18669945,0,6327800,0,114720172,0,25987166,1270129,10933384,63304174,59711584,145584,92110210,11590644,203680908,12254566,319283,0,215271552,18651
TX,Smith County,2020,General Purpose,123513550,38480699,7261430,2010083,0,0,13350862,0,59199436,0,3211040,16814943,13253418,864766,83741070,8573757,106100440,0,0,0,114674197,18260
MN,Olmsted County,2020,General Purpose,292121994,157705518,20204958,0,0,0,73873010,0,9328134,0,14499684,58292201,63630232,4540335,158854180,38104423,247212525,0,0,0,285316948,18145
MD,St. Mary's County,2020,General Purpose,264187368,112484000,44397448,4156908,1104015,0,85420753,0,6181171,0,6983073,7497731,11650351,8933693,267650238,35592028,260139985,0,0,0,295732013,18083
MI,Washtenaw County,2020,General Purpose,255611336,20857526,48928961,6476564,0,16800000,109139163,0,33592171,0,19816951,34583238,140168346,0,139071629,47538141,266285072,2548277,360354,0,313823213,18073
UT,Tooele County,2020,General Purpose,40353403,24669815,4043867,341657,0,0,5858204,0,3478023,0,1961837,20873857,27445290,2886392,33272297,22168680,62309156,0,0,0,84477836,17913
FL,Indian River County,2020,General Purpose,260417722,3865000,33086694,12133,0,2132000,187234831,0,1384640,0,15455453,87307869,48831278,16382635,160845949,33545210,279822521,16638875,661441,0,313367731,17871
IL,Kendall County,2020,General Purpose,39980937,24211965,2665689,23324,0,0,12140277,0,0,0,939682,10128599,9377932,4333183,41772562,6633951,58978325,0,0,0,65612276,17650
VA,Hanover County,2020,General Purpose,235111860,161464578,27311185,4019105,0,0,20343463,0,6166456,527039,10841225,49130355,19955541,22111075,229353157,32076147,288473981,0,0,0,320550128,17541
WI,Racine County,2020,General Purpose,346492783,153242647,14372636,0,0,14880000,0,10132051,153035186,0,5071523,34373943,54903188,3949679,80137731,55877975,117486566,0,0,0,173364541,17529
NM,Sandoval County,2020,General Purpose,116143372,37469079,3365481,6180434,0,8391615,41760020,0,13808361,0,871108,10290309,6678778,889986,62881370,14782604,65957839,0,0,0,80740443,17524
CA,Napa County,2020,General Purpose,371475235,9844521,28351202,1943821,5610812,0,257117876,0,24890000,0,15259001,84649469,147298127,19193744,213862696,85625069,379378967,0,0,0,465004036,17394
OR,Clackamas County,2020,General Purpose,741784482,271223726,46501385,0,21954295,2581957,295381903,0,61377713,0,17971186,150740708,221219638,28167113,206125450,-27221384,633474293,0,0,0,606252909,17288
TX,Rockwall County,2020,General Purpose,180200040,108265000,4969463,0,0,52624395,0,2133512,13543465,0,797717,6457701,1035240,15550,43514855,4705,51018641,0,0,0,51023346,17007
PA,Lehigh County,2020,General Purpose,451643087,122003762,48617342,0,0,29107284,82611649,0,148605945,0,17212037,28611283,332081628,0,114501663,2772678,472421896,0,0,0,475194574,16730
TX,Taylor County,2020,General Purpose,80223868,51409469,4934340,0,0,1875000,9821812,0,11050087,0,1133160,7264066,3520293,2879115,60282755,4379499,69566730,7187462,349776,0,73946229,16612
IA,Linn County,2020,General Purpose,112530664,62466474,8655615,230954,0,0,25904835,0,8719928,0,6552858,19086145,18021785,6653011,77498160,765840,120493261,0,0,0,121259101,16598
GA,Rockdale County,2020,General Purpose,233905267,81656764,14783942,0,0,20531090,30601118,0,71213178,0,3757261,50342091,9557078,1049183,87855530,3927581,144876301,0,0,0,148803882,16565
OH,Butler County,2020,General Purpose,359653610,44974952,27907569,0,24199737,0,128961846,1328480,89273318,0,10334899,99612086,72703782,33453831,152397499,34214909,323952289,0,0,0,358167198,16475
WA,Yakima County,2020,General Purpose,101466000,27498884,10582000,0,0,0,19376000,4774000,18426000,0,3272026,40167000,42545000,1138000,132507000,36496000,179861000,0,0,0,216357000,16400
SC,Pickens County,2020,General Purpose,112617961,35317917,8569346,0,0,0,52902164,0,13566925,0,508245,15938017,7481716,462008,47289523,5314307,65856957,0,0,0,71171264,16373
SC,Sumter County,2020,General Purpose,146524777,35056712,6220129,82165,4896000,0,48574631,0,46471988,0,2325520,16533352,5297569,1469030,66785433,4449665,85635719,0,0,0,90085384,16336
CA,Monterey County,2020,General Purpose,1313721737,24615807,184943107,13938911,0,22444000,693581639,0,39702617,0,58012254,482405997,472306026,74489257,289683563,70538388,1248346455,0,0,0,1318884843,16257
WI,Outagamie County,2020,General Purpose,135627074,37513517,47292873,0,0,30075000,0,0,5923395,0,14401795,105193980,45884124,15568290,87829444,29387234,225088604,0,0,0,254475838,16081
FL,Charlotte County,2020,General Purpose,644433960,110493339,45464281,0,142396771,0,250604515,0,51645399,0,16985264,232443868,38249479,48543478,258776778,80505968,497507635,7103711,692857,15428,578013603,16030
MD,Calvert County,2020,General Purpose,298296746,155533187,47536064,0,0,11118014,24610217,0,37603994,0,14222663,39481640,9485075,1313715,308418626,35988334,322710722,0,0,0,358699056,16022
NC,Randolph County,2020,General Purpose,191241062,0,10948249,133243158,0,43022,14360877,204411,0,1371326,3777672,11933875,18825030,0,119128267,-17062613,166949785,0,0,0,149887172,15971
NC,Catawba County,2020,General Purpose,243045526,105337466,15634205,0,1290796,0,24938161,281466,20914376,0,4945875,25318929,32354046,1561177,161392327,13889094,206737385,0,0,0,220626479,15942
SC,Florence County,2020,General Purpose,275116529,129891316,20735424,8940439,0,0,70114804,0,42573641,0,2077395,22683559,14426154,3921646,89309356,8406252,121934463,0,0,0,130340715,15936
ID,Canyon County,2020,General Purpose,47066475,0,6603850,0,0,0,27943926,0,0,0,2958671,30305875,4843381,439074,72367176,3674983,104280523,0,0,0,107955506,15699
FL,Citrus County,2020,General Purpose,315065964,94537959,36838279,5731733,0,38487756,107382780,0,10799461,0,7867047,63214140,16630390,37251681,106162981,13470438,209788754,0,0,0,223259192,15611
IA,Woodbury County,2020,General Purpose,24113915,1125000,3717065,272482,0,5650787,8338283,0,3596490,0,1413808,4365742,8403741,2070160,41389688,1101354,55127977,7863330,0,0,56229331,15354
IA,Scott County,2020,General Purpose,62705305,29522162,4939151,0,0,5850000,16248373,0,1574905,0,3727333,8384889,6521082,1204224,73169951,5883973,83396173,933761,5382,0,89280146,15324
NJ,Ocean County,2020,General Purpose,981487997,455251000,0,0,1824093,0,320908683,0,0,0,0,0,0,0,607245768,31447626,575798142,0,0,0,607245768,15305
MD,Cecil County,2020,General Purpose,387253664,281761563,38633026,5278492,0,0,41783074,0,0,3203465,3290378,33978318,23668531,15639727,194928232,25513416,242701392,0,0,0,268214808,15256
NC,Nash County,2020,General Purpose,149678652,19916442,6433602,63962,3374665,0,15004573,151721,58715917,0,2948920,12624980,19011390,2524993,75593726,2796009,106959080,0,0,0,109755089,15237
MD,Wicomico County,2020,General Purpose,215322000,115304395,11070361,3787052,48967,0,68582645,0,0,2860819,4296694,28909225,19092598,0,131046675,5025393,174023105,8549473,1503626,0,179048498,15203
AR,Sebastian County,2020,General Purpose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14748
TN,Sevier County,2020,General Purpose,132567941,72970270,4249008,0,49721699,0,0,11915145,4726964,0,0,19379348,6356005,251474,65118982,7885253,83220556,0,0,0,91105809,14662
KY,Kenton County,2020,General Purpose,0,64125000,0,3998754,0,0,0,0,0,0,0,8089635,10010157,0,46012100,-13769885,77881777,0,0,0,64111892,14602
TX,Tom Green County,2020,General Purpose,76704458,65754973,4985959,0,0,0,1351044,0,1069306,0,1982563,9961204,4296796,0,51490964,7890696,57858268,0,0,0,65748964,14574
MI,Kent County,2020,General Purpose,258942401,118742822,52041949,0,0,20300000,0,56763648,20274392,0,10260598,103959597,175675243,6262714,176806178,59811250,402892482,3271536,204298,0,462703732,14557
TX,Maverick County,2020,General Purpose,36897870,27458342,2349734,1170386,0,2120342,2474396,0,661286,0,765757,7737229,1819131,2518229,22125990,6297813,27902766,0,0,0,34200579,14500
WY,Laramie County,2020,General Purpose,37517884,0,4964692,914166,524276,8080573,20319885,0,0,0,2714292,13233849,6080005,564585,67116057,15840792,71153704,0,0,0,86994496,14421
GA,Barrow County,2020,General Purpose,85787882,45452019,9462989,0,0,2261054,10223388,0,2240686,0,1780665,19593667,1065528,4182452,63252819,24475688,63618778,0,0,0,88094466,14272
VA,Roanoke County,2020,General Purpose,268253281,176726541,19085918,0,0,0,51689185,0,11610305,0,6196165,12950046,31976337,0,175224579,-5911289,226062251,0,0,0,220150962,13999
MN,Sherburne County,2020,General Purpose,100629952,41817257,7185318,0,395744,0,34995551,0,8500432,0,7735650,30374906,37656706,1309538,65487566,18152741,116675975,0,0,0,134828716,13921
GA,Dougherty County,2020,General Purpose,44394827,0,9759413,0,0,0,12863653,0,9723406,0,3020725,20184596,3019068,1089858,72698992,11546575,85445939,0,0,0,96992514,13882
TX,Victoria County,2020,General Purpose,43311737,20820289,3916379,87290,0,0,13778737,0,1663830,0,1942798,11113505,9031558,806880,40619819,1358548,60213214,0,0,0,61571762,13846
OK,Comanche County,2020,General Purpose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26692769,842798,25849971,0,0,0,26692769,13679
ND,Burleigh County,2020,General Purpose,120603980,56410585,4731950,509188,6927227,0,49164701,0,1197388,0,1662941,10633910,14357668,1662441,35380353,-521997,62556369,0,0,0,62034372,13669
SD,Pennington County,2020,General Purpose,73932606,0,10379602,898417,0,0,0,82434,4758015,0,4077522,22236790,30187587,0,51660779,16415765,87669390,792159011,0,0,792159011,13620
GA,Bartow County,2020,General Purpose,266238592,4672617,12647435,402256,0,11045047,53694365,0,134588804,0,1541753,38768543,8894899,7794203,98819606,-15618122,169895373,0,0,0,154277251,13421
NC,Craven County,2020,General Purpose,90573248,5947000,8083495,0,45280876,0,11920117,192901,16337506,0,3004299,18415395,25310768,1184199,80023742,8729179,116204925,0,0,0,124934104,13410
NC,Henderson County,2020,General Purpose,242080295,160278698,2778058,0,0,0,21535807,0,21660306,0,3223475,20400652,20766531,415200,138934577,-7612997,188129957,0,0,0,180516960,13396
IL,Sangamon County,2020,General Purpose,83368177,12630000,5913374,133333,0,685297,29498248,0,28137919,0,5674796,11813923,14010484,3855,71058302,2541226,94345338,0,0,0,96886564,13392
WY,Natrona County,2020,General Purpose,20783393,0,1195378,0,0,0,14831253,0,0,0,1221547,5694414,5248146,11280941,35482425,-1150596,58856522,0,0,0,57705926,13330
GA,Glynn County,2020,General Purpose,77740781,29730456,9857016,3737384,0,0,19019778,0,6691285,0,3820072,21484392,2558107,5341435,110941316,11745307,128579943,0,0,0,140325250,13287
TN,Maury County,2020,General Purpose,323666954,161775799,86304855,0,4582645,120000,0,2376718,0,0,1518027,369157802,28854370,260771,50684426,5281863,443675506,0,0,0,448957369,13043
KS,Shawnee County,2020,General Purpose,176368814,58738701,13671531,1181758,6618503,0,55972457,0,3740208,0,5990379,26911259,6861332,37612034,106111436,10938812,166557249,0,0,0,177496061,13004
NM,Santa Fe County,2020,General Purpose,402292282,229047882,25835646,0,0,0,108782781,0,33838542,0,3773263,15518454,12158404,2667166,150488030,25483150,155348904,5496185,0,0,180832054,12979
GA,Effingham County,2020,General Purpose,42903778,30384539,7129327,2581533,0,0,0,0,0,0,1186283,20248032,1358818,5669136,47553987,12054734,62775239,0,0,0,74829973,12966
FL,Flagler County,2020,General Purpose,247070076,80018421,18477058,15137827,0,22241383,101286054,0,5905479,0,3975833,29275643,21025095,6323710,91211078,-1126750,148962276,0,0,0,147835526,12946
KY,Oldham County,2020,General Purpose,0,29232783,0,2180000,0,0,0,0,0,0,0,825322,15381046,0,24956652,4503344,36659676,0,0,0,41163020,12941
IL,Peoria County,2020,General Purpose,112309025,0,13333729,0,65234427,0,20086610,0,10286690,0,2469466,25388722,22306010,949855,30164432,-16011172,94820191,0,0,0,78809019,12924
NC,Moore County,2020,General Purpose,325478221,68284077,24216439,365767,15259206,0,15794696,224230,35715277,0,3079211,31305489,12150152,3067329,111807851,-48739972,207070793,0,0,0,158330821,12897
MI,Kalamazoo County,2020,General Purpose,85930743,28057366,23480442,0,0,0,0,26483836,29221051,0,5171884,16932323,39777367,805864,74039997,17035789,114519762,0,0,0,131555551,12878
GA,Whitfield County,2020,General Purpose,61313356,2987000,7015943,0,0,501646,13021315,0,9427500,0,1859952,7787908,7574178,3224402,56590521,-1870067,77047076,0,0,0,75177009,12873
TN,Robertson County,2020,General Purpose,133058609,126720152,1379051,0,0,1318575,0,1770755,0,0,2246446,16469913,3970773,1469818,44281935,2575051,63617388,0,0,0,66192439,12680
NC,Brunswick County,2020,General Purpose,641809367,414393247,25263447,0,12056129,0,30160312,0,138947347,0,5197231,83837838,35874168,8597689,180354717,30022858,278641554,0,0,0,308664412,12610
WI,Waukesha County,2020,General Purpose,125205616,0,24549916,0,0,86421784,0,20115248,0,0,6157295,52833970,70826154,6743815,134387071,17987164,246803846,0,0,0,264791010,12523
CA,Butte County,2020,General Purpose,451146897,44605000,23062987,8695475,0,0,267024698,0,60582927,0,19048981,288128363,305020071,18164284,94224057,216106070,489430705,0,0,0,705536775,12362
NC,Burke County,2020,General Purpose,107999745,4202138,10220634,0,0,56191340,11687912,168620,18514709,0,1912409,12311170,15401891,8743655,77657394,11590528,102523582,0,0,0,114114110,12334
SC,Orangeburg County,2020,General Purpose,209663272,93810159,9579443,7321176,141422,1563689,45978287,0,48779000,0,2328168,15007138,3292783,3226946,62326474,-4746095,88599436,0,0,0,83853341,12265
FL,Nassau County,2020,General Purpose,206503804,33026055,15747566,317517,0,646281,104672569,0,27317377,0,8439148,19062589,19224067,6903996,114019524,8715633,150494543,0,0,0,159210176,12248
WV,Wood County,2020,General Purpose,14797792,9343666,849007,303650,0,0,1565123,0,2359503,0,376843,5827330,454524,627045,17726513,750806,23884606,0,0,0,24635412,12238
PA,Dauphin County,2020,General Purpose,222829953,93274793,33527541,12867495,0,11743821,30832045,0,28028194,0,11319181,29671364,137386761,3784032,117319141,6327251,281834047,0,0,0,288161298,12214
NE,Sarpy County,2020,General Purpose,115004044,33915245,62361142,0,0,643412,0,5176614,4392339,0,9984435,30317327,9915388,14299458,62574497,19373706,97732964,0,3126,0,117106670,12190
MO,Platte County,2020,General Purpose,38075535,13814410,12480985,4971516,0,0,6666522,3819801,0,0,142102,11339713,8892764,14392487,38159677,21781054,51003587,0,0,0,72784641,12138
GA,Troup County,2020,General Purpose,52838751,9525246,9013888,229319,0,0,20388040,0,11923311,0,1048900,9074544,6185851,1959058,50531132,2253778,65496807,0,0,0,67750585,12127
UT,Box Elder County,2020,General Purpose,13764053,0,7330304,0,425000,0,4933748,0,0,0,708926,5591043,10240203,52926,27535529,3531857,39887844,1554199,567947,0,43419701,12111
FL,Highlands County,2020,General Purpose,149212569,0,10470020,0,0,22714207,101151611,0,1443612,0,5387894,37786184,6217641,6697061,75786933,-7743836,134231655,0,0,0,126487819,12080
KY,Daviess County,2020,General Purpose,0,14430000,0,0,1003694,0,0,0,0,0,0,9321804,15018752,0,35851113,929865,59261804,0,0,0,60191669,12048
WA,Whatcom County,2020,General Purpose,62757454,1700000,22682601,202931,0,0,18462899,5617735,7021801,0,9050517,27149474,47278205,21461306,122321641,36427481,181783145,0,0,0,218210626,12027
TX,Kaufman County,2020,General Purpose,155454241,122301619,9960738,3382426,589505,0,3143512,0,14181598,0,1894843,11219582,8552652,1825311,58499192,-3095111,83191848,0,0,0,80096737,11977
NC,Rockingham County,2020,General Purpose,144553001,39793390,9740242,0,0,0,14215229,151559,57059142,0,267058,15978052,14486195,3401884,76486902,5475117,104877916,0,0,0,110353033,11669
CA,San Mateo County,2020,General Purpose,1979736000,0,577795000,570202000,0,2207000,582014000,0,93292000,0,88988000,670556000,588692000,4585000,938071000,276434000,1925470000,0,0,0,2201904000,11576
NC,Lincoln County,2020,General Purpose,243949858,64472006,9752194,0,10271824,0,16448201,161569,55722570,0,2560553,31117563,14732517,6111431,104830802,29862816,126929497,0,0,0,156792313,11571
WI,Eau Claire County,2020,General Purpose,105871086,87910815,9857028,862783,71934,0,0,6630773,2049196,0,3194412,24672584,34961802,825927,54418184,9803816,105074681,0,0,0,114878497,11556
MT,Yellowstone County,2020,General Purpose,53446575,9725000,10250378,0,0,482171,26889090,0,3464895,0,2635041,20904883,3860516,0,67048796,13374296,78439900,0,0,0,91814196,11554
NC,Caldwell County,2020,General Purpose,63680553,0,3767713,0,0,43970245,11131900,0,2948262,0,1715013,10542208,13059772,4990460,68518348,-4252972,101363760,0,0,0,97110788,11444
TX,Bastrop County,2020,General Purpose,86503467,42487870,4060428,93338,0,0,4834705,0,34187316,0,839810,12571459,6116890,4709187,47239433,4885184,65751785,0,0,0,70636969,11434
NM,San Juan County,2020,General Purpose,138119832,29631614,5975488,0,11826519,0,65088739,0,21498659,0,3912931,11921716,15490557,94878,75539855,-11733815,114780821,0,0,0,103047006,11381
AZ,Yuma County,2020,General Purpose,204654401,49186610,17335739,1652322,2382579,0,127464416,0,0,0,7952320,12281055,47359790,2391146,124327709,25731746,160627954,17276895,275574,0,186359700,11303
VA,Fauquier County,2020,General Purpose,160394876,59257189,17913180,37253746,0,0,10468170,0,7196713,0,5507319,8363996,19551424,6514015,193055059,19259678,208224816,0,0,0,227484494,11181
IA,Dubuque County,2020,General Purpose,51983816,28883751,4076020,747572,205561,0,10354574,0,2068064,0,5648274,13959499,7377941,5306505,46471352,12258775,60856522,0,0,0,73115297,11064
IA,Black Hawk County,2020,General Purpose,42774074,19484053,4662121,0,0,0,13999618,0,2235539,0,2392743,5954830,11920406,5513256,45644001,12295125,56737368,0,0,0,69032493,11059
ID,Kootenai County,2020,General Purpose,57879151,0,12479197,1320001,0,0,28043831,0,0,0,6458122,43156208,5203978,1907127,58608080,1341167,107534226,0,0,0,108875393,11017
MO,Buchanan County,2020,General Purpose,11549032,0,3549665,0,0,0,4845370,0,811021,0,2342976,5809153,13817854,217731,32568614,4733925,47679427,0,0,0,52413352,10946
DE,Sussex County,2020,General Purpose,195731358,150074075,25295318,0,0,0,1384706,0,10203348,0,8460021,40933291,32607243,17634572,57586001,44427028,104334079,0,0,0,148761107,10942
CA,Sonoma County,2020,General Purpose,1092460000,376079000,107194000,3937000,85071000,256000,187359000,0,216719000,0,35987000,138541000,529243000,7500000,406145000,137213000,944216000,0,0,0,1081429000,10941
SC,Kershaw County,2020,General Purpose,79795952,29295334,6494891,677062,0,0,33572845,0,7692189,0,954391,14519265,340131,1554323,33907364,1513910,48807173,0,0,0,50321083,10928
GA,Bulloch County,2020,General Purpose,27011322,17007562,5973994,1681610,0,376089,0,0,0,0,1272067,12749082,2373696,2416455,59886138,6213733,71211638,0,0,0,77425371,10902
AR,Lonoke County,2020,General Purpose,3059864,0,3059864,68811,0,29520,8542020,0,0,0,0,0,0,0,21899273,3256116,18643157,0,0,0,21899273,10851
GA,Lowndes County,2020,General Purpose,103730852,8296623,9852167,147090,0,694890,22393102,0,59936692,0,1529355,20651626,2326113,4508029,87340234,8867262,105958740,0,0,0,114826002,10848
NY,Dutchess County,2020,General Purpose,982691845,243938009,110609586,0,0,0,126564243,0,461883735,0,10460158,25819329,134543999,23960211,322730088,-53366353,560419980,0,0,0,507053627,10836
GA,Catoosa County,2020,General Purpose,11303255,0,2564768,0,0,850764,0,0,0,0,1085115,6913816,5973564,121497,43995251,1834123,55170005,0,0,0,57004128,10770
NJ,Monmouth County,2020,General Purpose,2519448708,390810000,0,0,0,19500000,435741708,0,473743040,0,0,0,0,0,670942714,33082248,637860466,0,0,0,670942714,10704
TN,Tipton County,2020,General Purpose,1780926,0,0,0,0,0,0,3377926,685015,0,923485,4214907,3948431,3058753,21609394,6250828,26580657,0,0,0,32831485,10681
MI,Ingham County,2020,General Purpose,413273124,91554906,24358827,20901140,0,8900000,190612666,0,66446199,890867,8892262,68062662,68937496,6447388,99250635,15463123,227235058,28923501,3339065,0,242698181,10619
NM,Lea County,2020,General Purpose,54412925,0,3164773,0,0,0,37120253,0,13129405,0,998494,3976086,5883342,1732322,107060993,37574847,81077896,0,0,0,118652743,10613
SC,Oconee County,2020,General Purpose,97448315,14498485,4905376,8960635,0,0,53536319,0,11134969,0,1651761,14022308,3139229,2050616,52808914,2893022,69128045,0,0,0,72021067,10532
TN,Hamblen County,2020,General Purpose,48566893,22891137,12244780,0,12988769,0,0,1221689,442203,0,0,5462878,3288814,509048,24009119,-5117195,38387054,0,0,0,33269859,10511
TX,Randall County,2020,General Purpose,57373308,43136020,4974144,250098,0,0,4736828,0,2388547,0,1887671,15717845,3267010,1299662,48819236,7087785,62015968,0,0,0,69103753,10381
VA,Augusta County,2020,General Purpose,109688579,74620660,12794422,1375872,0,0,11033402,0,7596861,0,2267362,7927419,22870708,1635216,96699561,445503,128687401,0,0,0,129132904,10339
TX,Val Verde County,2020,General Purpose,46928684,20266082,16352028,0,0,2770000,2642564,0,4142547,0,593663,6800227,9145868,0,16929956,5019890,27856161,0,0,0,32876051,10331
CA,San Luis Obispo County,2020,General Purpose,1290311000,367642000,90338000,0,0,82823000,625259000,0,28036000,0,36032000,110475000,266285000,23007000,253744000,-12974000,666485000,0,0,0,653511000,10265
TN,Bradley County,2020,General Purpose,79484248,22430623,2124061,14997802,32800380,0,0,4543916,5121277,0,2010105,14260759,7515084,278713,45188444,6293168,60949832,0,0,0,67243000,10263
NV,Elko County,2020,General Purpose,60439253,1476312,6174528,0,188347,0,43667486,0,6913581,0,1440307,9659073,3038294,929544,53619023,4249591,62996343,0,0,0,67245934,10247
GA,Spalding County,2020,General Purpose,44546884,9092559,1932063,5612143,0,0,18309390,0,2193549,0,1425146,11856043,2933777,345137,50117215,-8380305,73632477,0,0,0,65252172,10207
MN,Stearns County,2020,General Purpose,88514377,11683529,11076470,0,0,0,50627927,0,5373188,0,9753263,10681633,66602645,8144942,104856444,34955248,155330416,0,0,0,190285664,10171
NY,Oneida County,2020,General Purpose,822010453,499559822,99851668,18864914,0,0,79645465,0,97865008,0,4212009,82352446,114562332,28182713,221880045,-17874859,464852395,0,0,0,446977536,10108
GA,Liberty County,2020,General Purpose,84793468,24285733,3052795,643784,0,0,20796711,0,33820936,0,1542329,12447932,4060273,750568,37541566,302281,54498058,0,0,0,54800339,10092
WI,Sheboygan County,2020,General Purpose,51552755,5014071,11675587,0,0,24730000,0,9309530,3433433,0,6699666,21199186,38936103,2064756,68740954,10990310,119950689,0,0,0,130940999,10058
